type,react_date,post_id,user_id
Emoticon,1588168500,659,285
Like,1588168722,8729,131
Comment,1588161835,691,930
Comment,1588166151,737,393
Like,1588164591,642,399
Like,1588165903,714,409
Comment,1588162504,5837,922
Comment,1588165219,708,641
Emoticon,1588162441,673,985
Comment,1588167989,5187,787
Emoticon,1588163603,8592,704
Emoticon,1588163874,635,186
Comment,1588166952,2930,464
Comment,1588164677,636,993
Like,1588167858,4591,529
Like,1588167945,650,39
Like,1588164562,658,981
Comment,1588164887,2974,58
Like,1588165156,2238,229
Emoticon,1588166024,3558,45
Emoticon,1588165344,710,366
Like,1588163999,638,441
Comment,1588159963,4591,942
Comment,1588162365,1792,715
Like,1588162857,7215,374
Comment,1588162455,685,291
Emoticon,1588165543,641,579
Comment,1588165179,3753,365
Like,1588164715,8285,185
Comment,1588166372,516,44
Emoticon,1588170241,764,217
Like,1588168348,8285,136
Comment,1588163696,716,376
Comment,1588164371,2400,779
Like,1588164529,4620,458
Comment,1588165920,727,734
Emoticon,1588165998,6715,468
Like,1588164783,7811,63
Emoticon,1588164657,702,844
Like,1588164520,5921,460
Like,1588165943,67,455
Comment,1588165224,713,311
Comment,1588161427,4620,116
Like,1588164910,642,733
Comment,1588165765,1603,346
Like,1588168050,660,403
Comment,1588168706,287,530
Emoticon,1588166275,4727,672
Like,1588162826,661,131
Comment,1588162665,5921,920
Comment,1588163286,713,346
Like,1588164316,66,230
Comment,1588166051,652,683
Like,1588162142,5187,689
Comment,1588164292,731,894
Emoticon,1588166684,725,883
Emoticon,1588166506,691,346
Like,1588165719,2096,450
Like,1588163742,681,83
Emoticon,1588164696,7815,357
Comment,1588168762,2238,252
Like,1588163372,7738,84
Like,1588164734,3753,841
Like,1588164679,833,367
Comment,1588164937,4740,953
Emoticon,1588164934,729,1000
Comment,1588166577,682,332
Like,1588166247,287,568
Like,1588167664,3611,803
Comment,1588167472,4902,543
Comment,1588163928,714,356
Comment,1588166196,671,577
Comment,1588163539,72,514
Comment,1588166501,688,467
Emoticon,1588161338,2466,426
Like,1588170421,717,389
Like,1588166316,4740,125
Like,1588162491,6572,581
Comment,1588166799,684,933
Comment,1588166411,710,570
Emoticon,1588167839,644,67
Like,1588165427,7241,655
Like,1588163721,648,785
Emoticon,1588163666,715,290
Like,1588165107,713,863
Like,1588164967,713,653
Comment,1588165205,1500,254
Comment,1588162936,9139,558
Emoticon,1588164512,8160,963
Comment,1588164676,684,776
Like,1588168197,706,861
Emoticon,1588165598,701,419
Emoticon,1588166656,1595,396
Comment,1588162289,4915,484
Like,1588165922,653,201
Emoticon,1588164690,721,713
Like,1588166960,736,689
Comment,1588163612,690,859
Comment,1588165760,7811,786
Comment,1588165427,644,351
Emoticon,1588168176,7814,196
Like,1588164023,705,155
Comment,1588165630,705,931
Like,1588165498,67,265
Emoticon,1588164841,681,508
Like,1588164364,415,447
Comment,1588164530,713,829
Emoticon,1588162853,3611,227
Comment,1588161542,7950,533
Comment,1588167414,2473,820
Comment,1588166112,5837,608
Emoticon,1588164306,2238,669
Like,1588165620,680,616
Emoticon,1588161299,695,718
Comment,1588163722,695,349
Comment,1588161567,7738,153
Comment,1588165272,672,263
Emoticon,1588167123,5187,429
Emoticon,1588165332,7045,751
Emoticon,1588166354,716,795
Emoticon,1588165386,7821,942
Emoticon,1588163748,66,241
Comment,1588167013,7812,711
Like,1588161846,703,829
Comment,1588165952,3390,946
Emoticon,1588167338,4915,880
Comment,1588165093,9139,848
Like,1588165626,1603,572
Like,1588165173,3808,306
Emoticon,1588168385,71,604
Comment,1588162671,4591,379
Like,1588166360,17,293
Like,1588164875,8285,611
Like,1588163799,636,730
Like,1588165541,9139,458
Comment,1588165581,643,542
Like,1588165603,7815,580
Comment,1588166509,75,444
Emoticon,1588169134,695,765
Emoticon,1588167038,707,9
Comment,1588170534,71,528
Emoticon,1588164050,4750,606
Emoticon,1588166826,677,668
Comment,1588166329,636,126
Comment,1588167964,415,97
Like,1588166019,66,559
Comment,1588161592,670,162
Like,1588166005,723,83
Emoticon,1588165203,7215,464
Like,1588162393,415,142
Emoticon,1588165459,714,787
Comment,1588164794,4740,510
Like,1588161386,5837,355
Like,1588166464,2395,918
Comment,1588167990,678,382
Like,1588170609,737,18
Comment,1588166351,7811,273
Like,1588165244,690,379
Comment,1588166927,6525,606
Like,1588164522,68,810
Like,1588165138,8160,67
Like,1588166944,5164,49
Comment,1588166080,643,383
Emoticon,1588163753,696,315
Comment,1588165477,684,374
Comment,1588165131,4915,186
Emoticon,1588163688,685,22
Emoticon,1588166993,714,175
Emoticon,1588166422,642,499
Comment,1588161354,2466,753
Emoticon,1588162831,2400,828
Like,1588162806,1887,544
Emoticon,1588167667,4727,50
Like,1588165193,730,183
Like,1588166885,1616,392
Comment,1588164113,17,877
Like,1588166793,709,252
Comment,1588163033,7821,753
Like,1588166355,8222,77
Emoticon,1588164654,2650,398
Comment,1588169508,465,896
Comment,1588164791,706,510
Like,1588164671,702,330
Like,1588163260,2466,945
Emoticon,1588166626,1518,93
Like,1588163670,6525,964
Emoticon,1588167590,1500,845
Comment,1588164773,2105,775
Comment,1588165839,716,410
Comment,1588164830,641,64
Like,1588165402,68,361
Emoticon,1588164284,4273,954
Like,1588166010,660,793
Like,1588170636,694,989
Comment,1588166885,2466,734
Comment,1588167554,4273,920
Like,1588167513,7817,725
Like,1588164893,641,552
Emoticon,1588164412,680,462
Emoticon,1588167908,716,339
Comment,1588167977,653,994
Emoticon,1588167383,678,2
Emoticon,1588163223,4750,184
Like,1588164502,681,617
Like,1588163150,8682,139
Like,1588165172,662,428
Like,1588166689,7950,666
Like,1588163556,2792,492
Comment,1588168224,710,284
Emoticon,1588163314,5921,133
Like,1588167098,660,999
Comment,1588168353,720,688
Emoticon,1588164599,71,155
Emoticon,1588168051,2466,716
Like,1588163677,7811,983
Comment,1588167058,5679,580
Like,1588167879,681,613
Comment,1588163999,642,144
Emoticon,1588164178,648,825
Like,1588164926,3611,180
Comment,1588161576,1946,706
Comment,1588168899,697,701
Like,1588165950,711,260
Comment,1588164103,669,4
Comment,1588166566,652,935
Emoticon,1588160822,7677,438
Like,1588163941,8948,969
Emoticon,1588164767,665,362
Comment,1588167049,2957,79
Comment,1588164935,8222,813
Emoticon,1588169639,4902,718
Like,1588168325,4727,318
Emoticon,1588161874,680,496
Like,1588164687,660,838
Comment,1588165284,4750,886
Like,1588163443,7821,469
Comment,1588166526,7810,139
Like,1588167423,706,762
Comment,1588161571,724,733
Comment,1588167642,7810,615
Like,1588166565,67,77
Emoticon,1588165562,1931,397
Emoticon,1588164479,716,715
Emoticon,1588163655,72,831
Comment,1588164055,699,568
Emoticon,1588162613,7821,959
Like,1588164409,4018,967
Emoticon,1588167024,8592,298
Like,1588166244,6715,90
Comment,1588161485,68,1000
Like,1588161950,711,126
Emoticon,1588166003,8948,921
Like,1588167961,2792,206
Like,1588165515,7950,153
Comment,1588166531,640,810
Emoticon,1588167151,5679,483
Like,1588164026,8729,190
Emoticon,1588164541,7124,167
Comment,1588167645,639,407
Emoticon,1588166745,4395,770
Emoticon,1588160054,702,557
Emoticon,1588167364,690,697
Comment,1588164951,7811,483
Comment,1588164777,3592,867
Like,1588163192,656,936
Comment,1588164742,692,714
Comment,1588169188,648,256
Like,1588166432,2963,259
Like,1588164492,6204,496
Like,1588165409,737,246
Emoticon,1588164835,808,422
Emoticon,1588164950,700,77
Comment,1588167133,717,496
Comment,1588162929,5187,246
Emoticon,1588164254,725,488
Like,1588161069,8285,687
Emoticon,1588168691,72,311
Like,1588163480,653,39
Like,1588164809,733,691
Emoticon,1588160810,640,308
Like,1588162622,657,706
Like,1588163000,693,189
Emoticon,1588165766,6204,740
Like,1588166820,2400,356
Comment,1588165649,3558,226
Comment,1588164565,703,449
Comment,1588164797,734,232
Emoticon,1588162358,5921,838
Like,1588166206,727,900
Comment,1588166414,715,176
Emoticon,1588164297,689,768
Emoticon,1588164348,689,109
Comment,1588165903,17,927
Like,1588169053,7821,109
Like,1588166030,71,664
Comment,1588166686,733,942
Comment,1588164220,692,748
Like,1588166055,649,352
Comment,1588164292,651,794
Like,1588163864,687,534
Emoticon,1588164604,645,985
Comment,1588163514,3402,636
Emoticon,1588166766,693,571
Comment,1588163031,7813,905
Emoticon,1588161509,4351,306
Emoticon,1588163684,640,813
Like,1588162986,642,771
Comment,1588161730,653,218
Like,1588164275,6572,404
Like,1588168103,7604,575
Like,1588164946,690,194
Emoticon,1588167007,2400,917
Like,1588167001,5187,813
Emoticon,1588161805,3611,367
Emoticon,1588165780,685,194
Comment,1588167453,8222,447
Comment,1588163066,9087,269
Emoticon,1588161456,5013,493
Like,1588166718,8160,779
Comment,1588164182,5521,450
Emoticon,1588163422,8647,269
Emoticon,1588166439,7508,796
Emoticon,1588162400,691,371
Emoticon,1588168713,2466,71
Emoticon,1588167973,662,524
Comment,1588166171,1509,281
Comment,1588163191,4750,144
Emoticon,1588168082,667,561
Emoticon,1588163431,1616,424
Like,1588163774,67,407
Emoticon,1588167096,1500,726
Emoticon,1588168418,724,86
Comment,1588167081,679,604
Like,1588165552,670,772
Emoticon,1588162792,1931,314
Emoticon,1588167116,634,555
Like,1588162306,733,652
Like,1588164535,7817,503
Like,1588168287,704,59
Comment,1588162592,687,830
Emoticon,1588162939,5187,218
Comment,1588166271,680,523
Emoticon,1588165207,698,715
Comment,1588162808,686,250
Like,1588164972,66,980
Comment,1588162953,656,313
Comment,1588164837,2771,540
Comment,1588167484,654,27
Comment,1588169198,1509,895
Emoticon,1588166757,664,774
Comment,1588169574,7817,620
Comment,1588164368,664,542
Emoticon,1588163981,68,778
Like,1588160896,7738,440
Comment,1588168514,5187,229
Emoticon,1588161671,691,482
Comment,1588166014,75,299
Like,1588168965,672,459
Like,1588170315,683,549
Like,1588162913,7815,779
Like,1588162920,637,883
Comment,1588166337,5521,137
Emoticon,1588164876,4160,330
Comment,1588166296,9139,451
Like,1588166253,678,772
Emoticon,1588166668,2096,447
Like,1588164421,1509,986
Comment,1588164865,6525,285
Like,1588167108,635,784
Emoticon,1588165944,5921,565
Emoticon,1588164808,722,235
Comment,1588164629,2650,285
Like,1588165790,685,569
Like,1588166637,657,291
Like,1588162692,4740,380
Like,1588165142,8592,996
Emoticon,1588166348,2957,7
Emoticon,1588163262,2096,353
Comment,1588167034,736,240
Emoticon,1588164622,643,6
Comment,1588165156,706,536
Comment,1588164835,2957,421
Like,1588161264,7124,948
Comment,1588165210,671,543
Like,1588169238,4591,421
Like,1588167942,6071,42
Like,1588163869,652,997
Comment,1588163228,645,625
Emoticon,1588162960,705,302
Emoticon,1588165759,5837,444
Comment,1588168830,17,400
Like,1588165142,670,762
Like,1588164115,2792,826
Comment,1588164751,7821,685
Comment,1588166083,75,230
Emoticon,1588166737,647,12
Comment,1588169057,6011,7
Like,1588162470,7817,676
Emoticon,1588165671,17,122
Like,1588165276,705,42
Comment,1588162658,635,723
Like,1588164804,8160,343
Emoticon,1588165132,4620,508
Like,1588164060,691,466
Comment,1588165800,707,551
Comment,1588162334,5679,402
Like,1588164893,7508,366
Emoticon,1588163248,641,682
Comment,1588166295,724,963
Emoticon,1588163283,734,783
Emoticon,1588167273,9139,151
Like,1588164994,665,303
Comment,1588166897,833,378
Emoticon,1588165364,68,470
Emoticon,1588166103,8592,394
Like,1588163308,673,74
Like,1588166741,68,873
Comment,1588164381,4915,854
Like,1588164180,666,90
Like,1588167067,684,371
Comment,1588163680,728,840
Comment,1588166092,697,816
Comment,1588168503,697,369
Like,1588167400,734,396
Emoticon,1588165255,3402,626
Emoticon,1588167384,788,384
Comment,1588169747,3390,353
Like,1588168837,673,495
Emoticon,1588165968,648,738
Emoticon,1588162995,1616,740
Comment,1588164152,8948,850
Like,1588168609,72,26
Emoticon,1588163714,1792,144
Comment,1588162419,717,968
Comment,1588169359,2096,507
Emoticon,1588168286,664,430
Comment,1588164383,690,579
Emoticon,1588167932,7821,916
Comment,1588162164,5249,927
Comment,1588163796,717,470
Like,1588160355,636,178
Comment,1588166660,287,259
Comment,1588166754,3402,219
Like,1588165968,4591,40
Emoticon,1588168034,118,700
Like,1588164785,6011,520
Comment,1588165669,6890,109
Emoticon,1588164272,639,668
Emoticon,1588164418,735,535
Emoticon,1588166268,7677,683
Emoticon,1588162625,8729,138
Like,1588166289,8729,300
Emoticon,1588163466,722,50
Like,1588165218,2549,457
Like,1588165559,3402,143
Like,1588168233,7950,426
Like,1588163444,696,153
Emoticon,1588164889,675,327
Emoticon,1588165868,6525,342
Emoticon,1588165236,696,416
Like,1588162889,2974,671
Comment,1588163748,6944,639
Comment,1588164599,3753,994
Emoticon,1588167565,7270,96
Emoticon,1588164585,681,679
Like,1588164095,7378,958
Emoticon,1588162840,671,177
Emoticon,1588167950,704,303
Comment,1588165507,724,593
Like,1588161847,724,917
Emoticon,1588165781,5679,91
Emoticon,1588166771,4750,469
Like,1588164099,7241,761
Like,1588165528,7604,378
Emoticon,1588167786,718,484
Emoticon,1588164155,707,730
Like,1588167157,7045,941
Comment,1588164505,695,763
Like,1588165160,415,27
Comment,1588165019,651,353
Emoticon,1588162949,2930,469
Like,1588166411,694,255
Like,1588165461,650,239
Like,1588164710,656,417
Comment,1588164344,9139,702
Like,1588166861,666,265
Like,1588166024,3390,644
Like,1588161609,415,970
Comment,1588163586,8948,552
Comment,1588162115,647,240
Comment,1588166266,8160,518
Comment,1588167933,8682,492
Like,1588165956,833,326
Emoticon,1588164251,682,464
Comment,1588164826,735,587
Emoticon,1588164380,5164,842
Emoticon,1588165418,706,695
Comment,1588165843,764,386
Emoticon,1588166241,71,124
Comment,1588165049,701,423
Emoticon,1588168246,1595,345
Emoticon,1588163983,3741,197
Emoticon,1588164560,655,601
Like,1588168152,7378,706
Like,1588165266,67,112
Emoticon,1588167347,6525,281
Like,1588165287,7814,620
Like,1588163346,5164,287
Like,1588167562,73,425
Emoticon,1588167418,8160,358
Comment,1588162121,700,777
Like,1588165882,118,591
Like,1588165417,1518,770
Comment,1588168977,667,388
Emoticon,1588163650,674,808
Like,1588165667,636,374
Like,1588162348,7045,287
Like,1588162457,5921,253
Like,1588164206,4264,952
Emoticon,1588165042,684,320
Like,1588165599,5164,511
Comment,1588163421,642,366
Like,1588164566,677,786
Like,1588168272,709,40
Emoticon,1588163945,2930,958
Like,1588163545,683,711
Emoticon,1588162785,7124,554
Comment,1588164714,694,246
Like,1588167711,660,833
Emoticon,1588165739,703,3
Like,1588168978,667,942
Comment,1588163435,668,312
Comment,1588164988,7821,314
Emoticon,1588165702,833,419
Emoticon,1588167283,1518,788
Comment,1588168485,2930,240
Emoticon,1588165745,735,156
Comment,1588165074,73,929
Comment,1588166075,2238,827
Emoticon,1588164439,682,666
Emoticon,1588167166,692,864
Like,1588163305,7811,621
Comment,1588164329,717,960
Emoticon,1588167924,808,223
Emoticon,1588170069,5921,91
Like,1588164235,516,92
Like,1588167028,8160,597
Comment,1588162902,7814,30
Like,1588167326,683,102
Comment,1588163708,1440,144
Emoticon,1588163577,680,423
Comment,1588166037,708,988
Comment,1588164727,705,392
Like,1588164140,639,123
Comment,1588162192,2792,448
Like,1588166893,833,492
Comment,1588165052,719,936
Like,1588165664,6988,709
Like,1588165257,71,304
Comment,1588167204,700,120
Comment,1588169212,2105,826
Comment,1588166043,6890,21
Comment,1588170559,7812,104
Comment,1588164688,3753,688
Like,1588166070,640,583
Comment,1588166880,1792,432
Comment,1588164340,710,928
Emoticon,1588163792,7950,579
Like,1588164349,691,403
Comment,1588160877,1931,417
Like,1588167049,708,380
Comment,1588166144,726,892
Comment,1588164927,7815,694
Like,1588162687,676,864
Emoticon,1588166005,715,289
Comment,1588168687,712,675
Like,1588165418,6890,189
Like,1588165584,686,331
Like,1588163454,643,327
Like,1588163926,2930,182
Comment,1588160812,788,712
Emoticon,1588163633,8592,365
Like,1588165135,4273,165
Comment,1588166122,727,779
Comment,1588168395,6890,742
Emoticon,1588164421,6944,269
Emoticon,1588164169,689,246
Comment,1588168293,697,131
Like,1588166711,2141,26
Like,1588166907,638,644
Like,1588166239,1946,846
Like,1588162623,642,975
Emoticon,1588163301,7378,287
Emoticon,1588164096,714,872
Like,1588164481,5164,587
Comment,1588165200,4160,507
Comment,1588165280,6204,596
Emoticon,1588164122,2974,908
Emoticon,1588165042,717,196
Comment,1588163212,694,481
Comment,1588166948,2974,93
Like,1588164609,681,291
Emoticon,1588166742,655,560
Comment,1588165916,652,689
Emoticon,1588163373,719,859
Like,1588165317,634,972
Emoticon,1588168509,4915,471
Emoticon,1588164646,664,546
Comment,1588166328,701,127
Comment,1588166068,7604,508
Comment,1588165550,7821,832
Emoticon,1588168476,673,381
Comment,1588163434,764,695
Like,1588160251,703,819
Emoticon,1588168372,1887,191
Emoticon,1588165112,656,720
Like,1588166346,516,342
Like,1588166158,2395,503
Comment,1588164683,663,83
Emoticon,1588166601,703,780
Like,1588164604,638,876
Emoticon,1588163487,5313,934
Comment,1588163476,8682,549
Comment,1588163061,681,603
Like,1588168200,736,939
Comment,1588160335,808,356
Emoticon,1588164515,7821,871
Comment,1588165226,666,981
Emoticon,1588162769,1946,609
Emoticon,1588168151,6944,224
Like,1588161713,1440,846
Like,1588165003,7814,131
Comment,1588162982,8222,693
Emoticon,1588168112,657,392
Emoticon,1588167679,2957,920
Like,1588166118,1931,593
Comment,1588162936,712,659
Emoticon,1588164719,1440,354
Emoticon,1588160788,73,459
Comment,1588167885,640,115
Like,1588164714,4727,355
Emoticon,1588164118,678,515
Emoticon,1588164910,1887,621
Emoticon,1588165923,694,911
Comment,1588162989,680,582
Emoticon,1588161977,1887,468
Emoticon,1588168006,1887,986
Comment,1588164707,703,955
Comment,1588163221,5921,737
Emoticon,1588166180,657,341
Like,1588165329,3592,217
Like,1588165603,1518,919
Emoticon,1588164747,655,906
Emoticon,1588166139,1616,781
Emoticon,1588166556,1595,588
Like,1588166131,715,437
Like,1588163991,700,723
Like,1588166377,74,382
Comment,1588163772,7604,193
Comment,1588167123,671,722
Like,1588163736,5052,30
Comment,1588164388,4915,871
Comment,1588164195,693,3
Like,1588164390,7604,887
Like,1588166375,1792,729
Emoticon,1588166628,2105,168
Comment,1588164601,833,243
Like,1588166654,808,679
Like,1588167051,8948,416
Comment,1588163943,8160,526
Comment,1588164286,645,308
Like,1588167970,690,430
Comment,1588164677,2473,164
Like,1588164147,7813,706
Emoticon,1588165170,7811,981
Emoticon,1588164746,664,246
Like,1588165455,644,143
Comment,1588166294,655,694
Like,1588165522,703,208
Comment,1588165639,6011,655
Emoticon,1588168630,7215,956
Like,1588163447,2771,565
Comment,1588165351,3753,189
Emoticon,1588162125,2771,390
Emoticon,1588161263,6988,82
Comment,1588164003,7811,15
Emoticon,1588165830,2771,429
Emoticon,1588163252,1518,202
Emoticon,1588166366,3402,505
Emoticon,1588165169,8642,17
Emoticon,1588166881,6988,24
Comment,1588168068,1946,8
Emoticon,1588169314,678,62
Emoticon,1588166661,1931,947
Like,1588161903,4423,148
Comment,1588166487,833,939
Comment,1588164175,710,415
Comment,1588162236,2957,855
Like,1588164397,2466,406
Emoticon,1588165201,8729,406
Like,1588167957,5837,73
Emoticon,1588165248,4902,798
Emoticon,1588162946,4423,711
Like,1588164063,8285,85
Like,1588165771,7190,558
Comment,1588163830,1887,659
Comment,1588162762,75,276
Like,1588165185,636,538
Like,1588165818,646,520
Like,1588164593,2792,140
Comment,1588166672,703,458
Comment,1588166184,731,62
Emoticon,1588165397,729,160
Comment,1588164492,642,80
Like,1588166502,674,807
Like,1588164353,716,53
Comment,1588163910,8948,858
Like,1588168764,2400,638
Like,1588161784,660,538
Comment,1588167109,4351,704
Emoticon,1588166580,5921,730
Comment,1588163879,6988,767
Like,1588166863,1595,504
Like,1588166312,3402,133
Like,1588166140,5921,938
Like,1588160936,715,886
Like,1588166857,8647,638
Comment,1588165520,5521,625
Like,1588168976,4273,935
Like,1588167175,686,30
Like,1588167477,5013,58
Like,1588163199,6988,733
Comment,1588167327,2395,955
Comment,1588163149,69,851
Comment,1588164511,7950,606
Like,1588170606,5249,135
Emoticon,1588163789,17,950
Emoticon,1588165116,2105,54
Like,1588167134,658,518
Comment,1588165323,7821,647
Like,1588164746,5187,687
Emoticon,1588162712,645,407
Emoticon,1588165008,7950,996
Like,1588164310,660,260
Comment,1588163180,7738,620
Comment,1588163076,2771,740
Emoticon,1588168184,2957,535
Comment,1588161148,2753,195
Like,1588165380,2812,251
Like,1588167765,733,469
Emoticon,1588165551,7604,959
Emoticon,1588163274,1792,473
Comment,1588168169,7811,634
Comment,1588162152,645,976
Like,1588164716,72,208
Emoticon,1588164693,4740,761
Emoticon,1588166547,6890,873
Emoticon,1588161804,9087,841
Comment,1588165086,2957,99
Emoticon,1588160617,636,319
Comment,1588168897,647,31
Emoticon,1588162965,678,299
Like,1588164531,717,454
Comment,1588165076,1887,489
Emoticon,1588165908,2930,710
Emoticon,1588165697,696,876
Like,1588166384,675,513
Like,1588160041,723,679
Like,1588163016,726,591
Like,1588166380,5249,967
Emoticon,1588164848,2395,468
Emoticon,1588166182,7814,637
Like,1588164269,2400,469
Like,1588166426,7813,864
Comment,1588169203,667,56
Emoticon,1588167649,644,567
Comment,1588166611,6204,158
Comment,1588166390,4273,321
Emoticon,1588164637,7604,805
Like,1588166998,713,495
Comment,1588164027,7817,740
Comment,1588167012,661,890
Emoticon,1588166491,652,656
Comment,1588160653,4160,488
Like,1588168748,6204,637
Emoticon,1588164704,639,137
Comment,1588165084,684,307
Emoticon,1588167370,704,853
Comment,1588165157,682,38
Like,1588165506,2096,11
Comment,1588163016,4160,393
Comment,1588166609,4742,955
Like,1588169577,666,257
Emoticon,1588166853,642,88
Emoticon,1588163197,5249,810
Like,1588162814,719,225
Emoticon,1588165865,670,609
Emoticon,1588163889,1887,503
Comment,1588169382,640,940
Emoticon,1588165499,8160,7
Like,1588165534,710,283
Comment,1588167033,3558,65
Comment,1588163890,664,593
Like,1588164637,696,860
Comment,1588167702,737,666
Like,1588160724,4160,494
Comment,1588166911,734,339
Emoticon,1588166223,9139,548
Emoticon,1588163679,7813,760
Like,1588164860,674,920
Like,1588165245,5921,618
Emoticon,1588163992,716,96
Like,1588167217,8592,77
Like,1588164656,67,799
Emoticon,1588169529,5921,862
Like,1588163264,635,616
Comment,1588164557,6525,522
Like,1588165930,7810,408
Like,1588164746,72,58
Like,1588166409,71,887
Like,1588162535,2141,370
Emoticon,1588166219,736,292
Emoticon,1588164928,72,899
Like,1588168771,5187,158
Like,1588168119,2105,549
Emoticon,1588165085,4160,486
Comment,1588163482,2238,5
Emoticon,1588162396,730,62
Emoticon,1588166837,655,597
Comment,1588163169,1946,484
Comment,1588165326,7215,862
Emoticon,1588163916,651,709
Like,1588165319,7817,340
Comment,1588164665,664,491
Emoticon,1588163575,6890,883
Emoticon,1588168397,706,626
Like,1588161061,2812,190
Emoticon,1588166740,736,545
Emoticon,1588165794,730,801
Comment,1588165765,663,107
Emoticon,1588165939,1440,768
Comment,1588162192,5187,312
Like,1588165320,710,552
Like,1588166167,9139,278
Comment,1588165523,645,352
Emoticon,1588167129,1500,955
Emoticon,1588166802,2812,122
Like,1588162490,6071,701
Emoticon,1588167451,1616,434
Emoticon,1588167906,7270,815
Like,1588165554,671,638
Like,1588164849,4423,961
Emoticon,1588167039,7190,897
Like,1588162039,650,707
Like,1588165837,737,690
Comment,1588164713,7215,848
Comment,1588165724,649,162
Emoticon,1588164113,651,862
Like,1588167632,7270,254
Emoticon,1588165067,735,676
Like,1588167596,808,19
Comment,1588165142,2105,397
Comment,1588163807,639,338
Like,1588167047,636,39
Comment,1588166943,735,482
Like,1588164507,670,835
Comment,1588164381,688,765
Emoticon,1588164895,656,283
Comment,1588166590,673,214
Emoticon,1588168273,2702,770
Comment,1588167075,737,320
Comment,1588166770,671,357
Comment,1588165722,764,567
Comment,1588163715,643,859
Like,1588164466,635,579
Comment,1588164168,7190,764
Emoticon,1588162619,653,535
Emoticon,1588163538,788,97
Emoticon,1588165321,2466,165
Comment,1588165778,2974,374
Comment,1588164307,4620,163
Comment,1588164085,7814,405
Like,1588163145,69,932
Emoticon,1588166859,72,111
Like,1588166683,7124,92
Like,1588166070,6071,509
Emoticon,1588165931,644,882
Emoticon,1588163271,646,749
Like,1588167015,2466,923
Emoticon,1588166842,5145,110
Comment,1588165837,1887,778
Comment,1588165464,721,270
Comment,1588166710,5313,761
Like,1588165808,650,970
Emoticon,1588168334,5164,278
Like,1588165625,690,237
Comment,1588165438,652,40
Emoticon,1588162986,709,453
Emoticon,1588165342,4620,307
Like,1588163997,722,600
Comment,1588161559,65,394
Comment,1588165890,2974,54
Emoticon,1588165840,8948,854
Emoticon,1588167236,17,709
